날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-03-31,97,66,68,109,59,69,68,104,58,73,86,66,51,64,56,41,80
2023-03-30,79,100,77,105,67,61,93,81,43,63,65,67,65,70,80,65,60
2023-03-29,79,96,95,92,74,75,99,85,76,86,79,80,88,92,86,107,81
2023-03-28,66,40,75,59,88,86,48,70,66,83,69,77,65,67,43,66,83
2023-03-27,47,40,38,49,37,38,40,48,44,43,46,45,33,44,32,38,42
2023-03-26,58,93,75,52,57,54,97,65,64,68,60,67,55,84,73,72,57
2023-03-25,99,110,107,96,67,75,113,100,71,73,84,69,70,105,91,82,79
2023-03-24,137,103,106,133,153,168,113,147,91,140,139,146,75,111,66,95,168
2023-03-23,111,12,15,136,49,78,15,121,41,70,138,111,40,21,12,54,116
2023-03-22,66,18,47,94,31,48,27,82,48,53,91,68,25,39,26,14,69
2023-03-21,62,49,62,80,56,57,53,73,55,63,74,72,51,59,48,24,64
2023-03-20,84,56,60,84,76,69,58,76,54,73,82,85,63,59,54,67,76
2023-03-19,93,52,54,100,71,69,58,90,62,80,91,78,70,59,49,77,79
2023-03-18,60,32,42,63,51,55,31,61,37,57,56,59,42,37,35,42,57
2023-03-17,41,45,48,47,52,54,43,47,34,53,58,60,45,43,41,38,58
2023-03-16,58,49,48,60,65,69,55,66,55,72,69,70,54,55,38,54,64
2023-03-15,47,37,32,56,27,38,33,52,36,40,48,38,26,31,30,24,42
2023-03-14,40,57,53,44,45,47,58,47,48,45,47,48,43,51,47,44,44
2023-03-13,33,30,45,33,40,36,38,35,32,37,39,41,34,37,27,38,35
2023-03-12,54,54,60,48,57,59,57,57,39,62,64,64,50,59,48,48,63
2023-03-11,98,105,95,102,97,88,98,106,70,93,106,102,88,90,86,100,94
2023-03-10,92,85,91,80,91,85,87,91,76,94,83,82,73,87,70,100,91
2023-03-09,63,41,63,46,57,56,42,62,59,65,56,54,50,59,43,61,57
2023-03-08,63,56,61,57,52,58,58,66,64,64,55,55,47,60,51,47,60
2023-03-07,62,62,69,59,61,67,67,69,72,72,65,64,48,66,54,56,65
2023-03-06,54,51,54,65,66,64,53,62,60,67,65,76,53,52,47,53,58
2023-03-05,71,34,50,58,64,76,35,76,66,86,70,86,60,47,45,68,73
2023-03-04,69,60,67,57,55,61,60,71,61,76,56,60,58,63,59,60,63
2023-03-03,39,38,49,36,40,42,47,43,47,51,40,41,34,50,34,24,45
2023-03-02,52,31,43,55,38,49,34,58,43,55,50,45,35,41,30,35,48
2023-03-01,35,31,43,38,37,36,34,41,34,47,44,46,28,39,30,35,42
