날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-10-31,47,41,47,51,41,43,44,57,39,53,42,46,35,45,35,23,48
2023-10-30,42,29,36,47,34,38,33,48,29,41,46,45,28,36,28,20,42
2023-10-29,29,21,26,36,31,31,22,34,21,31,42,41,30,27,25,27,35
2023-10-28,35,25,27,44,36,42,25,40,21,35,42,41,35,28,27,31,41
2023-10-27,28,43,39,36,49,53,47,32,16,41,48,50,42,43,36,40,57
2023-10-26,47,38,49,56,40,44,45,57,40,51,52,50,34,51,32,26,45
2023-10-25,35,32,37,39,34,32,36,43,33,38,39,39,30,38,27,19,37
2023-10-24,33,31,36,38,31,27,35,41,31,37,37,34,27,36,26,18,36
2023-10-23,30,29,32,32,27,25,32,34,29,33,32,31,25,34,24,19,29
2023-10-22,23,15,19,24,22,19,16,25,18,23,26,26,21,22,15,22,22
2023-10-21,18,18,19,19,17,18,20,19,16,19,22,21,18,22,16,21,18
2023-10-20,20,16,16,20,15,15,18,20,19,20,20,19,17,20,13,21,15
2023-10-19,29,23,35,32,29,23,30,33,30,31,28,31,23,34,24,15,27
2023-10-18,32,28,30,35,27,25,34,38,27,34,33,32,25,31,24,18,28
2023-10-17,33,31,27,34,26,24,35,36,27,30,33,32,24,33,24,22,29
2023-10-16,44,28,33,42,33,33,32,42,30,35,37,39,31,37,27,32,33
2023-10-15,25,19,22,25,24,20,21,27,21,26,26,28,23,25,19,24,21
2023-10-14,27,22,30,25,30,27,25,32,24,32,34,33,26,30,23,23,31
2023-10-13,34,19,28,36,27,27,21,40,25,30,42,37,25,28,23,22,34
2023-10-12,27,19,22,34,22,23,19,31,22,24,31,28,22,24,19,21,27
2023-10-11,24,22,22,31,22,24,24,28,19,24,33,29,22,25,20,24,28
2023-10-10,20,18,17,30,20,23,20,24,15,20,29,26,19,22,17,19,24
2023-10-09,12,13,15,14,14,14,13,14,11,17,18,19,15,17,13,18,16
2023-10-08,11,13,13,14,15,10,14,13,11,14,16,21,16,17,13,20,13
2023-10-07,20,22,21,26,27,22,19,24,14,21,29,32,24,22,22,18,23
2023-10-06,22,30,24,24,19,22,31,25,16,25,24,24,20,27,23,18,24
2023-10-05,32,23,30,36,32,38,25,36,22,35,38,38,30,30,22,34,37
2023-10-04,22,17,23,28,16,20,19,25,16,22,24,23,16,23,16,17,20
2023-10-03,19,16,21,23,16,17,18,21,14,19,23,23,17,22,17,20,20
2023-10-02,17,16,16,18,15,16,17,18,14,18,19,21,17,20,15,16,17
2023-10-01,25,25,24,21,22,22,27,25,22,25,24,28,24,30,21,30,22
