날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-09-30,27,24,22,29,20,19,26,27,23,24,22,25,22,28,22,23,19
2023-09-29,33,34,41,31,43,46,41,41,35,53,42,53,43,46,32,46,43
2023-09-28,47,11,22,51,23,32,16,49,29,37,45,38,22,28,14,28,35
2023-09-27,10,18,17,12,10,11,24,12,7,12,15,15,11,17,14,18,12
2023-09-26,6,20,13,8,18,9,17,8,7,8,13,19,20,13,22,17,8
2023-09-25,12,19,16,16,18,14,18,16,12,14,17,21,20,20,18,26,14
2023-09-24,11,16,13,13,14,12,17,12,11,14,16,19,17,18,14,28,14
2023-09-23,18,14,15,24,18,17,15,21,14,18,26,24,19,19,16,21,21
2023-09-22,20,17,16,24,18,19,19,22,13,18,24,23,18,20,17,16,18
2023-09-21,11,15,7,12,10,10,14,13,11,11,14,15,12,15,11,15,11
2023-09-20,21,33,32,21,20,30,37,24,23,34,28,30,23,38,28,20,27
2023-09-19,28,20,25,25,18,26,28,32,29,30,25,25,19,30,21,14,23
2023-09-18,18,13,15,15,11,13,18,21,17,16,17,15,14,22,16,12,15
2023-09-17,15,8,9,17,10,11,12,18,10,12,15,14,12,16,10,11,12
2023-09-16,11,12,17,14,15,10,20,13,9,10,13,15,15,21,15,12,9
2023-09-15,10,12,9,11,10,8,14,11,11,11,13,13,14,14,15,13,9
2023-09-14,9,10,8,10,9,9,15,11,10,11,14,15,14,14,16,14,11
2023-09-13,22,19,26,26,21,21,23,25,16,23,23,26,24,31,27,28,20
2023-09-12,29,18,27,30,25,29,25,33,28,34,29,31,25,30,24,23,28
2023-09-11,30,14,18,24,25,32,17,32,21,27,30,32,23,22,19,19,31
2023-09-10,35,11,13,30,25,24,12,35,18,22,32,36,23,17,16,20,28
2023-09-09,30,12,15,36,23,22,14,34,17,23,33,30,23,18,17,20,28
2023-09-08,18,16,15,21,17,16,18,21,14,18,23,21,18,19,16,20,19
2023-09-07,18,20,18,21,17,18,24,20,17,19,23,23,20,24,20,24,20
2023-09-06,18,18,16,27,18,15,21,23,17,18,31,26,22,23,17,20,20
2023-09-05,17,16,14,24,17,15,19,21,16,18,27,24,21,21,19,21,20
2023-09-04,17,16,13,21,21,14,19,21,17,17,26,25,24,20,22,23,22
2023-09-03,17,14,15,20,18,11,17,19,19,14,21,20,20,18,18,21,13
2023-09-02,29,8,21,33,17,25,14,32,24,26,35,31,17,23,15,15,27
2023-09-01,26,7,21,28,22,30,16,29,21,28,31,33,22,24,17,17,29
