날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022-11-30,25,23,20,23,19,24,24,25,19,23,25,22,17,21,18,23,24
2022-11-29,22,22,22,20,19,20,21,20,17,21,24,21,19,25,19,26,22
2022-11-28,26,36,55,27,30,37,37,29,22,39,33,32,28,41,34,27,46
2022-11-27,20,32,39,25,42,37,33,26,24,39,38,44,42,39,35,41,45
2022-11-26,58,36,49,61,53,60,39,63,43,60,71,63,44,50,37,40,61
2022-11-25,57,28,47,56,41,45,29,62,41,52,54,48,32,41,29,29,49
2022-11-24,51,34,38,53,33,40,33,57,32,45,49,42,31,37,31,36,43
2022-11-23,41,25,30,43,33,47,19,43,24,43,50,54,29,28,26,25,51
2022-11-22,56,38,54,67,40,57,38,60,40,59,74,69,34,45,38,25,78
2022-11-21,40,29,38,51,37,39,30,49,29,41,50,54,32,32,30,23,48
2022-11-20,30,25,34,41,30,32,25,36,27,35,43,41,28,31,28,22,40
2022-11-19,31,32,44,37,31,37,37,38,29,38,44,42,29,42,33,30,43
2022-11-18,44,37,51,41,31,42,41,49,31,43,53,44,29,44,34,32,52
2022-11-17,38,40,46,37,28,36,42,44,32,42,41,41,27,41,33,34,46
2022-11-16,33,39,42,36,31,31,39,39,27,36,39,39,28,40,33,45,29
2022-11-15,29,27,29,31,26,27,28,32,23,29,34,32,22,30,23,21,29
2022-11-14,23,28,29,24,22,32,28,26,22,27,30,27,21,30,26,26,32
2022-11-13,19,14,14,21,20,21,17,20,15,22,25,23,18,19,13,26,25
2022-11-12,47,38,47,56,37,43,41,52,35,46,48,42,33,44,37,26,44
2022-11-11,55,45,63,67,44,64,50,68,45,65,83,68,43,59,48,33,79
2022-11-10,82,52,63,81,46,69,55,92,59,85,89,67,43,66,46,28,91
2022-11-09,71,43,54,65,45,54,46,75,46,68,66,57,37,49,38,33,71
2022-11-08,48,40,48,43,40,41,42,53,40,52,50,45,34,45,35,30,48
2022-11-07,35,34,41,33,37,41,37,40,30,45,39,45,33,39,31,31,45
2022-11-06,26,22,31,27,28,30,26,30,25,37,33,34,24,32,24,24,36
2022-11-05,28,23,24,29,18,28,28,32,24,33,29,26,16,28,18,20,29
2022-11-04,26,30,27,27,23,23,31,29,25,30,26,27,22,30,25,30,25
2022-11-03,32,52,50,33,41,36,52,38,36,47,37,44,38,49,46,36,37
2022-11-02,31,44,57,30,52,44,49,39,35,52,38,49,43,53,42,57,44
2022-11-01,49,21,36,46,41,47,26,56,35,50,56,53,33,35,26,33,56
