날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-02-28,37,28,40,43,39,38,35,43,35,47,44,41,25,34,27,20,44
2023-02-27,47,38,40,50,40,40,45,51,33,48,51,48,33,37,34,24,50
2023-02-26,36,34,31,36,27,31,35,38,29,38,35,34,26,32,28,23,34
2023-02-25,37,34,33,36,29,33,31,39,30,39,35,33,25,32,27,28,36
2023-02-24,50,57,66,55,55,63,64,53,52,63,61,58,48,64,51,48,65
2023-02-23,41,26,45,34,36,44,35,43,51,50,39,35,23,42,27,17,46
2023-02-22,43,20,34,43,37,34,24,46,29,39,39,39,25,27,22,24,41
2023-02-21,30,24,27,31,28,33,25,34,24,33,33,31,23,25,22,22,35
2023-02-20,38,28,32,38,37,39,33,39,30,36,38,36,32,34,24,39,34
2023-02-19,47,37,39,43,35,39,31,52,42,46,49,43,30,36,31,41,44
2023-02-18,84,33,69,84,42,57,36,87,61,75,94,67,42,53,38,22,88
2023-02-17,45,37,52,42,40,43,42,49,47,54,54,46,31,42,34,24,57
2023-02-16,28,18,24,28,46,28,22,30,21,23,35,42,25,20,18,21,28
2023-02-15,17,13,11,21,41,21,13,21,14,19,33,44,27,11,13,22,32
2023-02-14,38,24,22,40,40,50,22,39,14,41,44,47,36,20,27,31,51
2023-02-13,34,31,37,41,40,42,30,35,20,37,58,58,37,33,29,38,61
2023-02-12,70,39,57,73,36,57,38,76,45,62,91,64,36,47,36,21,79
2023-02-11,45,37,55,47,44,47,41,49,32,52,53,49,35,44,36,31,58
2023-02-10,22,11,17,26,23,23,12,24,18,24,29,26,16,15,10,17,31
2023-02-09,36,39,47,42,52,46,42,42,33,50,50,56,41,45,38,30,53
2023-02-08,67,53,56,60,75,88,54,72,56,85,80,83,54,57,47,44,89
2023-02-07,79,46,60,80,58,92,51,87,60,84,109,87,45,56,42,37,110
2023-02-06,79,37,60,82,43,72,41,85,70,85,86,65,37,55,38,19,88
2023-02-05,66,38,48,67,49,58,38,71,50,68,69,61,40,47,38,31,69
2023-02-04,40,35,41,46,43,42,35,45,35,46,49,46,34,38,31,38,48
2023-02-03,40,41,38,41,32,40,37,41,34,46,39,35,26,36,33,22,44
2023-02-02,43,37,35,45,37,46,37,45,36,44,46,44,30,35,28,28,46
2023-02-01,64,46,49,56,49,46,44,63,49,51,56,51,40,47,42,45,48
