날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-05-31,27,19,23,28,22,20,22,27,22,20,26,27,23,21,21,23,22
2023-05-30,35,12,12,40,12,15,16,33,23,18,25,21,10,16,14,9,15
2023-05-29,14,6,6,17,5,8,11,15,14,9,13,7,7,10,7,10,10
2023-05-28,10,19,15,11,12,14,20,11,13,18,14,16,17,19,16,17,16
2023-05-27,28,25,28,30,26,33,31,30,29,34,34,34,29,33,25,31,33
2023-05-26,32,23,27,34,29,28,28,34,27,27,34,36,31,28,26,39,30
2023-05-25,32,17,33,35,39,38,26,36,28,35,39,46,39,28,25,32,39
2023-05-24,38,32,48,39,49,45,32,42,23,33,47,54,67,31,43,60,45
2023-05-23,60,89,72,84,88,54,80,66,50,52,84,100,100,65,88,113,61
2023-05-22,125,109,125,147,100,143,123,137,124,138,155,124,139,129,130,111,147
2023-05-21,77,29,45,58,15,40,39,78,97,60,52,32,16,49,28,22,52
2023-05-20,23,21,26,28,19,23,23,27,23,25,25,25,27,25,25,31,22
2023-05-19,22,14,16,27,13,15,17,25,19,18,24,17,15,19,14,17,18
2023-05-18,33,31,34,39,18,30,38,35,31,30,31,29,18,37,28,13,30
2023-05-17,34,36,51,35,32,40,53,40,40,42,38,40,32,50,37,37,41
2023-05-16,56,57,61,59,42,46,63,60,52,50,52,49,43,54,50,37,47
2023-05-15,36,45,39,40,33,33,48,40,30,33,40,39,36,36,39,47,36
2023-05-14,22,26,28,24,25,23,32,26,26,29,26,28,28,29,29,19,26
2023-05-13,39,17,26,40,27,33,21,41,31,40,36,36,18,31,17,11,32
2023-05-12,51,31,32,52,40,36,34,53,35,39,44,44,34,31,29,32,41
2023-05-11,48,36,38,52,41,40,38,53,36,41,48,48,38,34,36,41,46
2023-05-10,53,44,42,65,36,44,47,58,37,46,56,50,35,41,38,40,49
2023-05-09,49,34,35,52,33,37,37,51,38,41,45,43,31,33,32,29,38
2023-05-08,34,25,27,40,26,32,26,35,28,29,35,32,26,26,24,28,32
2023-05-07,31,27,28,33,14,29,31,33,31,30,33,23,17,32,25,21,31
2023-05-06,14,10,6,12,9,6,12,10,15,6,8,8,11,11,7,17,6
2023-05-05,11,28,7,10,3,7,18,10,15,9,8,6,10,11,16,20,8
2023-05-04,41,23,26,49,13,29,26,45,36,35,34,27,16,32,22,14,31
2023-05-03,39,34,37,47,30,35,40,43,34,36,42,40,30,39,32,28,37
2023-05-02,31,36,36,38,31,29,40,34,28,29,35,38,29,35,29,35,29
2023-05-01,41,48,41,37,43,49,48,44,36,52,47,57,42,46,38,51,47
