날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-07-31,29,21,28,29,19,31,27,31,24,31,31,27,25,32,26,21,32
2023-07-30,15,23,28,15,21,30,28,18,20,31,30,28,27,33,29,19,31
2023-07-29,28,31,32,27,21,32,39,30,32,31,30,27,28,38,35,20,33
2023-07-28,31,34,34,31,25,24,39,31,24,23,27,29,29,36,34,17,22
2023-07-27,21,28,26,23,21,16,32,21,15,17,19,21,29,23,30,24,16
2023-07-26,12,23,19,16,15,14,30,14,11,15,14,17,21,20,26,18,14
2023-07-25,18,11,14,16,9,14,16,20,21,16,15,13,13,17,13,12,15
2023-07-24,21,10,9,19,8,11,14,20,15,11,14,12,12,13,11,15,11
2023-07-23,9,13,10,11,10,11,18,10,13,13,10,12,14,16,14,15,11
2023-07-22,29,14,18,32,12,20,23,29,22,24,25,20,13,23,16,14,22
2023-07-21,61,18,44,55,31,43,26,57,35,48,48,40,29,38,31,17,48
2023-07-20,55,22,35,48,37,44,40,55,34,45,46,43,28,32,27,17,48
2023-07-19,29,9,11,36,15,18,14,31,18,18,29,21,14,14,13,12,21
2023-07-18,14,10,8,18,6,7,19,13,12,9,9,8,8,12,10,14,8
2023-07-17,26,14,9,21,7,11,16,26,29,15,15,9,10,13,12,13,13
2023-07-16,30,7,16,30,10,18,13,30,32,21,21,15,11,20,11,13,19
2023-07-15,23,14,12,30,11,10,14,20,16,12,16,13,14,16,14,14,10
2023-07-14,16,14,11,27,20,7,16,14,10,8,12,14,21,14,16,20,7
2023-07-13,23,19,26,22,18,22,28,24,21,24,22,20,23,29,22,19,21
2023-07-12,24,13,19,23,19,22,19,25,17,22,23,22,20,21,16,21,21
2023-07-11,18,17,23,24,19,17,25,21,19,20,21,21,22,27,20,24,17
2023-07-10,32,28,34,39,24,22,38,33,22,22,28,28,30,31,30,36,21
2023-07-09,15,21,33,22,25,25,41,20,14,22,29,30,26,32,23,35,26
2023-07-08,12,12,27,12,15,11,26,14,19,13,14,17,17,22,16,19,12
2023-07-07,40,25,31,38,20,25,37,41,41,32,29,27,23,36,25,32,27
2023-07-06,46,38,46,47,33,39,50,49,46,42,41,40,33,47,38,33,37
2023-07-05,27,16,19,32,20,21,22,27,21,21,27,27,19,21,17,28,20
2023-07-04,30,12,18,28,8,19,22,30,25,24,18,16,11,22,13,18,20
2023-07-03,32,20,37,33,14,33,32,34,29,32,35,29,15,35,26,17,35
2023-07-02,19,23,32,15,19,29,34,23,28,33,28,27,24,33,29,22,31
2023-07-01,27,25,22,21,13,23,34,30,24,28,30,22,16,25,25,19,30
