날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-06-30,35,12,13,36,8,12,23,30,16,16,19,11,9,16,12,21,13
2023-06-29,32,16,23,34,18,25,20,32,23,26,29,24,19,24,18,23,25
2023-06-28,31,11,15,30,11,18,17,30,22,19,21,16,12,18,13,16,20
2023-06-27,20,11,15,20,18,19,17,21,19,18,19,22,16,18,14,14,16
2023-06-26,16,12,11,19,8,10,13,16,13,12,13,11,12,13,11,16,10
2023-06-25,30,10,22,32,15,23,17,32,20,23,29,25,12,20,13,18,24
2023-06-24,36,14,21,41,19,26,16,38,15,24,33,34,17,18,17,26,32
2023-06-23,34,19,22,45,23,23,21,39,15,26,33,30,23,20,18,27,27
2023-06-22,19,25,24,21,16,20,35,23,15,24,25,22,15,22,18,21,23
2023-06-21,10,13,19,11,10,19,18,13,10,15,18,17,13,17,14,18,17
2023-06-20,34,22,26,37,28,23,23,36,24,21,33,37,25,23,23,31,24
2023-06-19,45,38,35,43,35,39,38,46,34,39,40,40,37,36,36,34,40
2023-06-18,26,29,33,25,24,29,38,29,29,31,29,29,26,34,30,24,31
2023-06-17,21,27,33,18,29,31,41,24,23,30,28,33,25,32,28,25,30
2023-06-16,25,38,31,20,27,29,43,29,28,35,29,37,25,31,32,23,30
2023-06-15,30,28,23,32,23,28,23,34,17,29,30,31,27,21,27,26,30
2023-06-14,29,28,25,27,24,24,33,31,20,29,29,31,25,26,25,22,28
2023-06-13,25,20,25,23,24,26,31,28,24,31,26,27,20,26,20,18,28
2023-06-12,29,20,20,29,21,24,28,32,22,30,29,32,17,23,17,18,29
2023-06-11,21,17,21,24,14,21,26,24,21,27,29,26,15,27,19,14,25
2023-06-10,33,25,36,34,25,26,37,35,24,28,31,32,21,35,22,21,29
2023-06-09,24,28,26,28,25,25,38,27,19,25,31,36,26,29,26,22,24
2023-06-08,20,19,27,16,16,24,28,23,32,33,19,24,16,33,20,16,21
2023-06-07,34,29,34,26,24,28,41,35,37,33,24,28,22,35,26,19,27
2023-06-06,20,18,26,18,24,24,26,21,22,27,23,26,21,27,20,15,24
2023-06-05,29,32,28,32,29,26,31,31,30,28,28,31,26,29,26,22,25
2023-06-04,35,27,24,41,27,25,27,38,26,29,33,31,24,26,24,28,27
2023-06-03,33,38,32,34,33,29,36,35,28,36,35,41,39,35,37,46,30
2023-06-02,30,24,31,27,25,33,28,35,39,46,34,32,26,35,26,25,34
2023-06-01,38,23,27,41,23,30,25,42,27,30,40,30,21,24,20,22,36
