날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-01-31,38,27,37,39,34,34,30,41,33,38,38,36,27,30,26,28,39
2023-01-30,43,35,35,42,43,41,33,46,36,46,44,47,37,37,31,40,43
2023-01-29,46,35,39,48,44,45,33,49,37,47,52,49,44,41,35,51,46
2023-01-28,38,21,29,34,28,29,22,39,37,37,31,27,25,32,20,22,31
2023-01-27,40,35,32,37,32,31,37,39,30,35,33,33,27,31,26,24,33
2023-01-26,31,25,30,33,24,26,23,31,22,31,30,21,18,21,21,11,33
2023-01-25,21,11,11,23,13,22,13,23,18,23,23,17,9,13,10,10,23
2023-01-24,28,33,26,25,22,25,35,26,23,29,27,25,23,30,28,20,33
2023-01-23,55,30,42,55,45,51,35,55,50,55,59,53,39,43,32,36,55
2023-01-22,28,19,26,31,24,30,20,30,31,33,35,31,19,25,19,14,34
2023-01-21,24,15,19,24,20,25,18,24,19,26,28,24,18,20,17,17,27
2023-01-20,65,67,56,70,68,76,64,69,55,71,77,77,65,62,59,85,69
2023-01-19,62,48,56,64,65,58,45,64,47,58,63,65,53,48,47,57,57
2023-01-18,54,46,52,56,51,50,46,57,41,57,59,53,42,48,41,44,53
2023-01-17,32,24,25,35,23,29,24,36,27,37,31,28,17,27,20,17,33
2023-01-16,22,20,20,19,21,22,22,22,17,24,22,21,15,21,17,20,23
2023-01-15,14,12,11,17,23,12,13,14,7,13,19,22,16,11,11,25,15
2023-01-14,12,21,17,17,17,11,21,14,12,13,23,22,14,20,15,18,17
2023-01-13,21,19,50,22,13,25,21,23,19,31,21,14,11,30,15,22,28
2023-01-12,64,39,67,69,36,58,42,68,45,57,62,45,30,47,37,20,68
2023-01-11,74,36,50,71,53,57,35,82,42,62,75,62,34,41,33,20,70
2023-01-10,61,45,63,59,58,54,51,65,42,68,66,60,47,57,50,34,61
2023-01-09,94,75,78,94,72,69,72,93,69,78,86,84,73,72,69,68,73
2023-01-08,132,53,74,140,106,82,54,121,87,90,108,100,116,73,63,86,90
2023-01-07,121,100,88,125,196,124,90,128,79,120,149,163,180,95,100,109,135
2023-01-06,78,80,87,91,108,100,74,86,56,99,112,109,89,81,80,58,117
2023-01-05,49,71,73,60,73,59,68,58,40,66,65,70,65,64,66,61,68
2023-01-04,35,25,28,37,40,31,25,38,26,37,36,34,29,27,26,23,35
2023-01-03,30,16,20,29,23,25,20,32,26,32,28,26,17,22,17,25,30
2023-01-02,24,13,16,24,21,21,19,26,23,25,24,24,14,20,14,21,22
2023-01-01,52,49,43,51,48,36,47,49,40,49,50,49,50,49,47,68,44
