날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022-10-31,26,17,21,30,22,18,19,30,18,22,31,31,19,23,18,24,26
2022-10-30,25,14,17,33,27,22,16,32,16,25,42,42,21,18,16,23,32
2022-10-29,26,17,22,34,44,30,19,36,18,31,52,52,30,23,21,30,44
2022-10-28,40,27,41,50,45,39,30,49,23,44,55,49,36,34,35,40,54
2022-10-27,33,19,39,35,30,32,23,37,26,38,37,38,23,33,25,19,38
2022-10-26,18,15,24,21,20,18,18,21,15,21,27,25,17,21,17,20,25
2022-10-25,16,14,14,23,21,21,18,20,12,20,30,26,17,19,15,20,27
2022-10-24,27,22,24,28,22,26,25,29,13,27,30,29,21,23,24,27,28
2022-10-23,37,31,36,34,33,35,32,39,26,45,40,42,31,34,32,40,36
2022-10-22,44,24,28,44,24,29,27,51,37,41,39,36,21,28,23,27,36
2022-10-21,50,28,41,51,33,37,33,62,32,47,58,41,24,36,25,23,47
2022-10-20,35,24,34,39,27,35,31,42,25,40,46,37,22,33,23,27,41
2022-10-19,24,21,24,26,25,24,28,29,20,31,32,30,19,28,19,23,29
2022-10-18,22,22,22,21,20,20,28,24,20,25,24,24,17,26,18,28,21
2022-10-17,28,38,40,27,33,32,41,31,28,39,33,38,32,42,31,43,30
2022-10-16,36,16,19,49,33,41,21,45,19,39,58,51,26,22,18,26,52
2022-10-15,31,15,19,42,32,21,19,36,16,24,46,42,25,20,19,25,30
2022-10-14,26,16,20,33,26,18,19,31,16,21,33,28,20,19,17,24,26
2022-10-13,21,18,20,27,22,18,21,24,16,20,28,27,19,20,18,28,25
2022-10-12,22,20,26,29,21,20,26,25,16,23,28,24,18,26,20,23,22
2022-10-11,17,13,14,15,16,15,18,18,12,16,19,17,14,16,12,24,16
2022-10-10,9,14,13,10,13,10,18,9,9,10,14,14,14,16,13,26,10
2022-10-09,9,15,14,10,11,8,20,10,10,9,12,13,10,18,13,19,8
2022-10-08,10,15,14,15,16,11,20,12,9,11,18,20,14,16,12,19,13
2022-10-07,10,18,17,15,20,18,24,12,6,14,19,21,17,20,16,23,17
2022-10-06,8,15,17,11,17,22,21,13,7,19,23,24,17,15,18,19,22
2022-10-05,16,18,18,19,17,17,22,19,6,13,20,19,17,17,16,28,17
2022-10-04,15,18,13,15,18,12,20,14,7,13,15,18,16,16,16,27,11
2022-10-03,15,29,27,16,17,18,33,15,11,19,18,20,21,29,29,26,19
2022-10-02,31,28,25,37,25,27,30,36,20,28,42,34,26,27,26,21,31
2022-10-01,52,39,29,69,32,36,39,62,21,35,57,41,31,28,29,24,38
