날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-11-30,17,18,17,19,17,18,21,18,17,21,18,18,15,20,14,17,18
2023-11-29,17,29,31,19,28,25,29,19,16,25,22,27,25,28,27,29,23
2023-11-28,29,36,32,27,33,30,37,30,27,34,28,32,32,34,31,48,29
2023-11-27,40,29,37,42,35,23,32,40,25,30,36,31,30,33,27,40,29
2023-11-26,24,22,25,29,23,23,22,31,22,32,29,30,21,26,19,14,30
2023-11-25,18,16,17,21,14,18,17,21,18,21,18,18,13,19,12,15,18
2023-11-24,16,22,17,17,17,16,27,15,16,19,16,17,16,20,15,22,15
2023-11-23,90,47,55,100,65,62,46,94,59,70,85,78,55,52,45,57,60
2023-11-22,41,27,45,45,28,31,32,48,33,42,36,33,20,35,25,19,36
2023-11-21,36,31,40,42,28,31,37,42,27,39,33,33,23,34,27,19,35
2023-11-20,31,38,31,30,30,30,39,35,31,35,27,32,32,38,32,37,28
2023-11-19,40,22,28,42,32,35,22,44,38,40,40,37,30,32,23,30,35
2023-11-18,22,15,18,23,18,20,16,22,20,21,20,19,17,22,13,22,18
2023-11-17,18,18,19,17,17,14,19,17,19,19,13,15,15,21,13,24,14
2023-11-16,45,33,54,47,31,39,34,50,39,54,44,36,26,49,28,23,51
2023-11-15,44,29,38,53,31,42,32,51,30,52,48,39,25,37,25,21,47
2023-11-14,26,20,22,30,21,24,20,31,21,30,27,24,18,24,17,17,27
2023-11-13,24,16,18,22,16,21,18,24,21,24,21,20,14,21,13,16,21
2023-11-12,19,14,17,19,14,20,17,19,18,22,20,19,13,20,12,17,21
2023-11-11,19,20,19,19,14,25,20,20,17,22,20,21,13,22,14,18,21
2023-11-10,16,19,20,18,18,21,23,17,20,25,18,21,17,26,15,22,18
2023-11-09,30,22,40,37,27,31,27,35,23,31,33,31,24,34,23,18,34
2023-11-08,24,19,31,33,22,22,21,29,19,27,27,25,20,26,19,21,27
2023-11-07,20,24,21,20,26,23,25,19,15,21,22,25,26,25,22,33,20
2023-11-06,20,22,19,25,24,25,22,20,16,20,27,30,25,23,18,29,21
2023-11-05,14,27,28,16,23,20,33,16,13,19,23,27,25,29,28,18,18
2023-11-04,48,28,33,66,25,25,29,54,24,35,66,35,25,34,27,15,35
2023-11-03,33,27,35,37,28,31,34,35,28,35,31,30,24,38,25,18,29
2023-11-02,38,30,51,39,27,33,44,39,42,39,31,33,24,48,27,22,28
2023-11-01,46,36,50,50,38,41,43,51,47,51,41,43,30,45,33,20,38
