날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-04-30,38,37,39,41,37,44,42,43,35,41,47,46,36,43,34,38,42
2023-04-29,26,22,32,27,25,33,22,27,31,37,32,32,26,34,25,34,33
2023-04-28,34,32,32,38,30,32,34,40,33,39,35,35,28,33,28,26,38
2023-04-27,37,33,34,40,29,27,35,39,28,31,35,33,28,33,29,23,34
2023-04-26,27,34,33,26,26,30,37,28,26,32,30,30,27,34,27,36,28
2023-04-25,32,21,25,36,24,23,23,33,23,22,30,28,22,23,21,14,28
2023-04-24,49,31,31,54,42,45,32,53,39,39,54,60,34,33,30,27,48
2023-04-23,52,59,83,56,90,139,55,69,64,111,116,110,95,88,83,69,139
2023-04-22,53,263,271,60,160,231,265,74,105,210,186,164,212,253,221,207,222
2023-04-21,55,197,180,73,43,66,217,62,124,73,70,61,72,183,132,80,57
2023-04-20,23,44,43,19,27,33,49,27,32,33,26,33,31,42,40,40,30
2023-04-19,35,47,47,47,28,35,50,38,26,35,40,39,27,41,41,31,36
2023-04-18,42,66,69,51,55,48,66,45,40,49,50,56,58,71,63,58,52
2023-04-17,98,88,85,99,78,84,84,100,71,81,92,83,87,86,81,102,86
2023-04-16,105,52,90,112,99,101,69,114,75,95,116,106,91,73,67,96,99
2023-04-15,58,16,32,52,34,46,21,59,54,48,54,45,32,44,23,30,56
2023-04-14,90,58,63,95,43,64,55,96,106,91,75,63,49,75,54,37,77
2023-04-13,187,98,123,197,106,170,97,200,182,195,192,158,120,145,95,107,185
2023-04-12,261,219,257,247,265,251,230,276,237,289,297,255,246,267,206,290,275
2023-04-11,68,28,38,81,34,41,30,67,72,47,56,42,28,43,27,32,42
2023-04-10,44,50,43,45,42,40,42,47,45,42,42,42,39,45,39,37,41
2023-04-09,58,46,48,66,70,65,37,64,43,60,66,70,67,48,47,74,60
2023-04-08,38,31,34,43,43,40,33,42,29,38,50,48,37,36,29,38,41
2023-04-07,73,53,58,57,71,74,66,77,77,89,74,83,57,68,40,67,80
2023-04-06,62,26,20,77,81,63,25,66,17,38,100,111,60,21,22,48,67
2023-04-05,18,18,14,20,17,16,19,17,13,13,20,20,17,15,14,27,18
2023-04-04,36,26,25,39,29,21,28,35,29,25,36,39,25,26,26,34,23
2023-04-03,47,26,35,60,44,49,25,51,39,46,55,50,38,34,32,38,47
2023-04-02,46,40,41,58,43,42,39,50,35,42,56,55,42,40,39,52,43
2023-04-01,87,69,65,109,58,65,69,91,50,66,90,78,53,59,58,64,77
