날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-08-31,22,14,10,22,16,19,18,26,19,24,24,22,15,16,13,13,22
2023-08-30,19,16,8,19,11,12,20,21,13,15,17,15,10,16,14,10,14
2023-08-29,13,16,13,14,9,13,19,14,16,15,14,14,13,20,16,13,14
2023-08-28,14,15,18,17,17,15,20,16,15,18,21,25,19,23,21,17,17
2023-08-27,29,20,20,33,24,29,22,30,20,28,35,37,26,25,24,22,29
2023-08-26,38,24,24,34,22,31,27,37,24,34,34,32,26,28,26,23,32
2023-08-25,18,16,12,22,17,18,20,21,15,21,24,24,18,18,18,24,20
2023-08-24,7,11,8,10,11,9,15,10,8,10,15,14,11,14,10,12,10
2023-08-23,9,18,21,11,8,12,27,12,18,17,12,14,13,29,25,15,13
2023-08-22,20,24,27,23,15,17,33,22,27,26,19,22,19,36,29,15,18
2023-08-21,25,19,25,29,17,16,29,27,21,18,26,25,19,28,24,16,18
2023-08-20,26,18,20,26,22,25,25,28,20,25,30,30,21,24,21,19,25
2023-08-19,27,14,20,20,22,15,24,26,18,17,25,25,22,24,16,18,21
2023-08-18,36,10,10,32,16,19,14,34,19,21,28,24,24,18,20,15,23
2023-08-17,26,18,20,26,16,20,16,26,19,23,22,22,21,21,25,20,21
2023-08-16,18,21,27,20,21,35,26,20,14,24,25,29,24,26,27,21,28
2023-08-15,25,17,15,31,29,32,19,29,14,25,36,37,27,22,20,24,32
2023-08-14,40,18,20,39,30,31,22,40,26,30,35,38,30,25,25,24,33
2023-08-13,29,22,28,32,30,29,26,31,25,29,33,36,31,28,27,28,29
2023-08-12,18,22,25,20,28,23,29,20,19,22,25,32,27,29,27,28,21
2023-08-11,18,16,16,18,20,21,21,20,14,17,24,27,23,21,19,28,21
2023-08-10,5,11,4,6,6,4,17,6,7,5,7,9,8,12,6,17,5
2023-08-09,8,10,8,11,10,12,13,10,7,11,13,16,12,15,11,20,11
2023-08-08,8,13,11,12,13,12,15,10,8,12,17,19,16,17,15,24,13
2023-08-07,11,14,12,16,16,13,17,15,10,15,21,23,18,20,15,23,14
2023-08-06,22,8,16,25,19,19,13,22,18,23,25,26,20,21,14,24,20
2023-08-05,20,14,21,20,19,29,20,22,21,27,25,28,22,25,19,22,26
2023-08-04,20,18,20,22,14,25,23,23,21,26,24,23,18,25,19,21,24
2023-08-03,22,20,21,25,17,24,26,24,22,27,24,27,22,26,21,23,24
2023-08-02,33,22,21,33,22,36,30,33,28,35,37,39,24,28,21,22,38
2023-08-01,30,12,26,37,22,35,21,32,26,29,37,37,25,31,19,23,33
