날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-07-31,22,13,19,22,13,21,19,20,13,21,20,16,16,23,18,13,20
2023-07-30,10,17,20,10,15,21,21,10,11,21,20,18,19,23,22,10,20
2023-07-29,21,24,23,20,14,22,30,20,19,21,20,16,18,27,27,11,21
2023-07-28,22,26,23,23,18,13,30,19,12,12,16,18,19,24,25,9,11
2023-07-27,13,21,15,15,14,7,22,11,6,7,9,11,19,14,21,15,5
2023-07-26,6,15,9,8,9,5,21,5,4,5,5,7,12,10,17,9,4
2023-07-25,10,4,6,9,4,5,9,10,9,6,7,5,4,8,6,5,5
2023-07-24,14,4,3,12,4,4,7,10,6,5,6,5,4,6,5,5,4
2023-07-23,5,7,4,6,5,5,11,5,5,7,4,5,6,8,7,6,5
2023-07-22,21,9,10,24,7,13,14,19,11,16,16,12,7,14,10,5,12
2023-07-21,47,12,31,42,23,31,17,39,21,34,34,28,19,25,22,10,31
2023-07-20,39,16,22,33,23,30,29,35,19,31,30,29,16,19,18,8,31
2023-07-19,17,6,5,23,8,9,9,16,9,10,16,12,7,6,7,8,11
2023-07-18,8,6,3,10,3,2,11,6,4,4,3,3,3,5,5,5,2
2023-07-17,14,6,3,12,3,4,8,12,11,7,7,3,4,5,5,5,4
2023-07-16,16,4,7,16,5,8,7,14,13,10,10,7,6,9,6,5,6
2023-07-15,14,5,5,17,4,5,7,11,7,7,7,6,4,7,5,5,4
2023-07-14,10,4,4,15,8,3,8,8,4,4,5,6,6,6,5,6,3
2023-07-13,15,8,14,15,8,11,17,13,9,12,11,10,7,16,9,7,9
2023-07-12,15,7,10,16,9,12,12,14,7,11,12,12,8,10,9,8,9
2023-07-11,10,10,14,15,11,9,16,10,9,10,10,12,11,15,12,10,6
2023-07-10,19,20,22,25,15,13,26,17,9,12,15,16,16,19,20,17,11
2023-07-09,8,15,22,14,16,14,31,10,6,11,17,18,14,20,15,18,13
2023-07-08,6,8,16,7,8,5,18,7,8,7,7,8,9,12,10,9,5
2023-07-07,20,19,18,22,12,13,25,19,16,15,15,15,14,20,17,16,10
2023-07-06,26,21,20,29,16,15,25,25,20,18,19,17,18,20,20,22,15
2023-07-05,15,9,7,20,12,12,12,15,9,13,15,15,10,10,9,15,10
2023-07-04,23,7,11,22,4,12,15,20,14,15,11,9,6,13,8,11,11
2023-07-03,21,14,24,23,9,21,22,21,14,19,22,17,9,22,18,7,19
2023-07-02,13,17,21,11,13,19,24,14,15,21,18,17,15,21,21,11,19
2023-07-01,18,18,13,14,8,10,26,18,11,15,18,12,9,14,16,10,14
