날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-03-31,47,32,33,57,28,35,34,52,27,36,44,32,24,31,29,17,39
2023-03-30,39,53,37,58,32,27,49,40,18,28,30,32,31,34,42,28,24
2023-03-29,38,46,45,48,32,33,47,40,35,38,36,37,38,43,41,45,36
2023-03-28,28,17,34,28,37,38,22,31,29,35,29,35,27,29,21,25,35
2023-03-27,20,16,12,21,14,17,14,19,15,17,19,20,12,14,12,13,17
2023-03-26,15,24,18,14,17,17,23,16,17,18,18,21,16,19,19,18,14
2023-03-25,26,22,18,27,18,16,19,25,15,16,21,19,18,18,19,19,14
2023-03-24,26,28,25,24,31,33,24,26,19,29,24,31,18,24,20,22,26
2023-03-23,29,8,10,33,23,40,9,34,18,35,42,53,16,13,7,21,35
2023-03-22,36,12,27,54,17,23,15,46,21,25,54,38,14,22,15,7,39
2023-03-21,37,22,28,48,26,23,25,41,29,30,40,37,22,28,22,12,28
2023-03-20,60,25,29,54,44,45,27,50,33,44,50,55,32,30,25,28,48
2023-03-19,60,23,27,68,39,43,27,55,33,45,54,45,33,29,22,34,47
2023-03-18,29,12,16,30,22,28,11,27,16,25,24,29,17,14,15,15,25
2023-03-17,15,13,16,19,18,18,13,15,11,17,19,19,15,13,15,11,17
2023-03-16,10,15,12,12,12,13,14,11,11,13,12,13,11,13,11,11,10
2023-03-15,12,14,11,13,10,16,12,14,13,14,12,11,10,11,11,9,12
2023-03-14,10,14,15,10,12,16,16,10,12,13,11,13,11,14,13,9,12
2023-03-13,8,11,17,8,10,10,19,7,9,10,9,11,9,11,9,8,8
2023-03-12,25,32,25,21,25,22,28,25,17,23,25,27,24,27,24,19,22
2023-03-11,52,49,37,57,35,41,42,51,32,40,44,40,38,36,37,49,41
2023-03-10,53,36,31,45,44,45,31,48,29,36,44,40,33,28,30,56,47
2023-03-09,42,20,25,29,31,31,20,40,29,31,31,31,26,27,21,32,27
2023-03-08,30,25,29,26,23,28,27,32,35,31,23,25,20,29,24,18,25
2023-03-07,32,31,36,30,29,35,35,36,39,37,30,30,22,35,28,21,33
2023-03-06,33,28,30,41,39,39,30,37,37,40,38,49,29,29,27,24,34
2023-03-05,48,17,29,39,37,50,18,51,43,55,43,56,33,27,27,37,47
2023-03-04,41,32,35,32,29,35,30,42,37,44,29,34,29,33,34,29,35
2023-03-03,16,16,20,13,16,16,20,17,19,21,15,16,13,19,15,8,19
2023-03-02,11,13,12,12,10,10,14,10,11,12,11,12,9,11,11,9,11
2023-03-01,18,20,25,21,21,23,21,22,20,29,25,29,16,24,19,19,23
