날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022-10-31,15,9,11,18,14,9,10,17,9,12,18,19,11,12,11,11,12
2022-10-30,16,8,9,22,19,15,8,21,9,16,27,29,14,11,10,10,20
2022-10-29,16,9,12,20,31,18,9,22,11,20,32,35,19,13,12,15,27
2022-10-28,23,15,24,28,30,26,16,30,14,30,34,33,22,20,21,26,34
2022-10-27,18,10,21,19,18,20,11,19,13,22,20,21,13,18,14,10,20
2022-10-26,7,7,11,10,11,9,7,10,7,11,13,12,8,11,9,8,12
2022-10-25,7,5,5,10,10,10,7,8,6,11,13,12,8,9,8,8,12
2022-10-24,11,10,10,10,9,11,10,11,7,14,11,13,8,11,12,10,11
2022-10-23,19,18,21,16,17,19,17,20,17,28,19,23,16,20,19,20,17
2022-10-22,29,14,17,30,15,19,14,36,24,27,23,22,12,16,14,15,20
2022-10-21,32,15,22,33,19,24,17,41,19,30,35,24,13,21,15,13,31
2022-10-20,18,13,18,20,15,21,17,22,12,23,24,19,12,19,13,15,23
2022-10-19,10,11,11,12,12,12,13,12,10,17,15,14,8,15,10,10,14
2022-10-18,9,9,8,9,8,8,10,10,8,12,10,10,6,11,8,10,9
2022-10-17,10,20,22,10,15,14,21,11,15,21,13,17,15,23,18,18,13
2022-10-16,24,9,11,31,24,27,11,29,11,26,36,35,17,13,11,14,32
2022-10-15,19,8,10,25,21,12,9,21,9,15,28,26,15,10,11,12,16
2022-10-14,14,7,9,19,15,10,8,17,8,12,17,15,10,10,9,10,12
2022-10-13,11,7,9,13,12,10,8,12,8,11,14,13,9,10,9,12,11
2022-10-12,12,10,14,15,11,12,13,14,9,15,16,14,10,14,12,12,13
2022-10-11,9,7,6,8,8,8,9,9,7,10,9,8,6,9,7,10,8
2022-10-10,3,6,4,4,6,4,8,3,4,5,5,6,5,7,5,11,3
2022-10-09,4,7,7,5,7,4,10,5,5,5,6,7,5,9,7,9,4
2022-10-08,4,6,5,7,10,6,8,5,4,6,9,10,7,7,6,10,6
2022-10-07,4,11,9,7,10,10,13,5,3,8,9,10,8,11,10,10,8
2022-10-06,3,9,8,5,11,14,11,6,3,11,13,14,10,7,10,10,11
2022-10-05,7,7,6,10,8,7,9,9,3,7,9,9,7,7,8,10,7
2022-10-04,6,8,7,6,8,6,11,6,3,9,6,8,7,9,8,10,5
2022-10-03,9,17,17,10,10,12,21,10,6,13,10,13,12,19,18,15,10
2022-10-02,22,20,16,28,18,19,20,25,12,19,29,23,19,17,19,13,19
2022-10-01,37,28,18,53,23,26,27,43,13,25,40,30,22,18,21,15,24
