날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-02-28,25,17,26,31,26,26,22,29,24,31,29,29,15,22,19,10,29
2023-02-27,31,26,24,34,26,27,29,33,21,32,32,33,21,24,23,12,32
2023-02-26,21,23,17,22,14,19,23,21,17,22,20,20,13,18,18,9,18
2023-02-25,18,21,17,17,13,17,18,18,17,20,16,16,11,17,17,10,17
2023-02-24,29,40,43,33,34,44,43,32,35,40,38,37,28,42,35,29,41
2023-02-23,24,17,28,19,24,29,23,26,33,31,22,22,13,26,19,9,28
2023-02-22,26,11,19,27,23,22,14,28,16,24,24,25,14,16,13,13,25
2023-02-21,15,12,12,16,15,18,12,17,12,17,17,17,11,12,11,10,18
2023-02-20,9,10,8,10,12,14,11,9,8,11,11,12,8,10,9,10,10
2023-02-19,33,29,28,29,25,30,24,37,31,34,32,30,19,27,23,24,31
2023-02-18,64,26,46,66,29,39,28,65,44,53,70,48,28,37,28,10,63
2023-02-17,32,25,35,29,26,31,29,34,33,39,38,32,20,29,24,14,40
2023-02-16,18,10,15,18,34,20,13,20,14,16,24,31,17,13,12,15,19
2023-02-15,10,9,7,13,27,13,8,12,8,12,21,30,17,7,8,13,18
2023-02-14,24,16,14,24,25,33,13,24,8,28,27,31,24,13,18,16,30
2023-02-13,23,19,24,29,27,28,18,24,14,25,43,43,25,20,19,25,42
2023-02-12,57,31,46,60,28,45,28,63,34,50,73,53,26,36,28,12,56
2023-02-11,35,29,43,37,35,38,32,40,25,42,41,39,25,35,28,20,41
2023-02-10,17,8,13,19,18,19,8,19,14,18,23,20,11,10,8,9,22
2023-02-09,23,27,31,28,36,31,29,28,22,35,34,40,27,31,26,17,35
2023-02-08,48,36,40,42,57,65,37,52,41,63,56,63,36,40,33,26,61
2023-02-07,60,30,40,60,41,68,32,66,43,60,79,65,30,38,29,23,77
2023-02-06,59,25,40,61,28,51,28,64,51,62,62,48,24,40,26,11,61
2023-02-05,50,28,35,51,36,42,27,54,38,51,50,45,27,34,27,18,51
2023-02-04,26,23,26,32,27,28,22,31,22,30,33,31,20,24,20,18,32
2023-02-03,19,26,22,20,15,18,22,20,19,24,19,18,13,21,20,8,20
2023-02-02,16,22,18,17,14,16,21,17,21,20,17,16,12,19,16,9,16
2023-02-01,35,22,25,29,27,20,21,33,28,26,27,25,19,24,22,21,21
