날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-05-31,13,8,10,14,13,9,12,12,9,9,12,13,11,10,10,11,9
2023-05-30,18,8,5,24,8,6,11,16,10,7,11,10,6,7,8,3,5
2023-05-29,6,4,3,11,2,3,7,7,5,4,6,4,3,6,4,4,4
2023-05-28,5,9,7,7,6,7,12,6,5,11,6,7,6,11,7,6,6
2023-05-27,15,12,14,18,11,18,17,18,15,20,19,16,11,18,12,9,15
2023-05-26,13,12,12,16,13,13,16,15,12,13,15,15,13,14,12,12,12
2023-05-25,13,7,16,16,16,15,14,15,12,15,16,18,15,13,12,12,13
2023-05-24,17,14,19,18,19,20,16,18,9,14,21,23,22,14,17,20,18
2023-05-23,15,24,23,24,27,19,24,19,12,18,25,30,25,21,23,31,18
2023-05-22,30,32,32,35,26,30,33,32,27,35,34,35,29,33,29,27,27
2023-05-21,22,18,19,21,7,13,22,22,22,18,16,12,8,18,16,13,12
2023-05-20,14,12,14,19,11,14,14,15,11,13,15,14,15,14,15,17,12
2023-05-19,12,9,8,16,7,8,10,13,9,10,14,9,7,11,8,9,9
2023-05-18,18,23,23,22,11,17,25,18,14,15,17,18,11,22,20,6,14
2023-05-17,14,21,26,17,16,18,29,16,15,16,16,17,18,24,22,18,15
2023-05-16,31,39,38,34,22,22,41,30,25,24,26,23,25,30,34,21,23
2023-05-15,20,32,25,23,19,19,32,21,16,18,22,21,21,21,26,29,19
2023-05-14,13,18,19,15,15,14,23,15,14,17,15,16,17,18,20,11,15
2023-05-13,24,12,16,25,15,19,14,23,18,23,20,20,10,18,11,6,17
2023-05-12,30,14,15,32,23,21,17,30,19,20,23,24,17,14,15,15,23
2023-05-11,25,19,19,28,22,23,20,27,15,23,25,27,21,16,21,20,26
2023-05-10,31,26,22,39,19,26,26,33,16,25,31,28,17,19,22,19,28
2023-05-09,28,23,20,31,18,23,24,29,19,23,25,24,17,19,21,17,23
2023-05-08,22,15,17,26,16,21,16,22,16,18,23,20,16,16,16,18,21
2023-05-07,24,20,21,25,9,21,21,24,21,22,25,16,12,21,18,12,24
2023-05-06,9,6,4,8,5,3,9,6,10,3,4,4,5,8,4,9,3
2023-05-05,4,11,3,5,2,4,10,5,8,4,4,3,4,7,7,6,2
2023-05-04,21,12,14,25,8,16,15,21,17,17,16,12,8,16,11,6,14
2023-05-03,17,17,18,22,14,17,21,18,15,15,19,18,15,19,17,11,15
2023-05-02,12,18,17,16,13,14,22,14,11,12,16,17,14,16,15,14,13
2023-05-01,16,19,15,16,16,19,19,17,15,19,19,24,15,17,15,17,17
