날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-04-30,13,14,11,15,12,13,16,14,12,13,15,15,11,14,12,12,12
2023-04-29,12,12,14,14,13,14,12,13,13,16,14,16,12,16,12,16,12
2023-04-28,16,16,14,20,14,16,17,19,16,18,17,17,13,15,14,10,15
2023-04-27,21,16,17,24,15,15,18,22,15,18,20,19,14,17,15,10,18
2023-04-26,13,18,16,13,12,15,19,14,14,17,16,16,12,17,13,15,13
2023-04-25,14,12,15,17,12,12,13,15,11,11,15,14,11,13,12,6,12
2023-04-24,15,11,10,17,13,14,12,15,12,12,17,21,12,12,12,9,14
2023-04-23,14,14,17,17,24,25,15,18,15,24,25,27,20,19,17,15,20
2023-04-22,12,43,41,13,33,32,43,15,20,36,30,32,33,41,33,36,26
2023-04-21,14,36,28,15,17,20,38,16,21,23,22,24,19,32,27,20,19
2023-04-20,12,23,22,11,13,15,27,15,14,15,14,19,14,21,20,18,12
2023-04-19,17,24,25,26,16,16,28,19,11,16,20,22,14,21,22,13,12
2023-04-18,17,23,23,23,18,19,24,19,17,19,19,20,18,26,20,14,14
2023-04-17,27,28,25,28,24,26,28,28,22,25,25,26,22,26,22,25,19
2023-04-16,30,21,25,34,31,29,24,34,23,28,30,33,25,23,20,27,22
2023-04-15,20,10,17,20,16,19,12,21,19,19,20,22,13,21,12,12,15
2023-04-14,19,19,22,22,15,17,20,21,23,23,19,20,14,23,17,10,16
2023-04-13,26,20,24,30,18,28,21,28,29,33,28,27,19,28,17,16,23
2023-04-12,29,36,32,30,35,30,34,31,27,36,36,36,32,34,28,42,30
2023-04-11,19,10,11,19,13,15,10,19,18,16,17,15,11,13,10,9,13
2023-04-10,17,10,11,16,10,12,12,17,14,12,14,12,9,12,9,9,12
2023-04-09,16,9,9,16,14,13,10,16,11,13,16,15,12,10,9,10,13
2023-04-08,7,9,7,8,8,7,11,8,8,7,9,11,8,9,7,10,7
2023-04-07,42,31,35,27,52,53,41,46,49,58,44,57,37,43,24,42,48
2023-04-06,53,20,13,64,73,63,17,56,12,31,84,95,53,15,17,32,51
2023-04-05,11,10,8,13,13,11,10,12,8,9,13,14,10,10,8,12,9
2023-04-04,20,12,12,22,15,12,12,18,15,13,22,24,11,12,13,10,9
2023-04-03,31,12,18,39,25,34,11,30,24,28,36,31,21,19,18,13,28
2023-04-02,30,22,23,36,25,27,20,30,22,24,35,34,24,23,24,22,23
2023-04-01,49,36,33,65,30,37,36,49,25,35,49,43,26,30,31,27,39
