날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-08-31,12,7,6,12,8,9,10,13,7,15,12,11,7,8,7,6,11
2023-08-30,10,7,4,9,5,5,11,9,4,8,7,7,5,7,7,4,5
2023-08-29,7,7,7,7,4,6,10,7,6,9,6,6,5,9,8,6,6
2023-08-28,8,9,9,10,11,8,11,8,6,10,12,15,10,12,13,8,8
2023-08-27,19,13,12,22,17,20,14,18,9,18,21,24,16,14,16,13,17
2023-08-26,24,15,13,21,13,18,16,21,10,20,19,18,13,15,15,12,19
2023-08-25,9,10,6,11,9,9,12,10,6,12,12,11,8,9,10,11,9
2023-08-24,3,4,4,5,5,4,8,4,3,5,7,6,5,7,4,6,3
2023-08-23,5,12,14,6,5,7,18,6,9,11,5,6,6,18,17,7,5
2023-08-22,13,18,19,14,10,12,23,13,15,17,11,13,11,24,22,7,10
2023-08-21,16,13,16,19,11,10,20,15,10,10,15,14,11,16,16,9,8
2023-08-20,18,13,13,18,15,16,18,17,10,16,19,18,13,14,14,12,15
2023-08-19,19,10,13,13,15,9,17,15,8,10,15,14,14,13,10,11,12
2023-08-18,26,6,5,23,11,12,9,21,8,13,17,13,15,9,13,8,13
2023-08-17,17,11,11,18,10,12,9,15,8,14,12,12,12,11,17,12,11
2023-08-16,10,9,15,12,14,20,14,10,5,14,15,17,13,13,15,12,16
2023-08-15,16,10,7,21,20,18,11,16,5,14,22,22,17,11,12,13,19
2023-08-14,28,11,11,27,22,20,14,24,12,18,21,23,19,15,17,15,19
2023-08-13,19,13,17,22,21,19,17,18,11,16,19,21,20,16,18,18,16
2023-08-12,11,12,13,13,16,14,17,10,8,12,13,17,15,17,16,17,11
2023-08-11,10,7,8,10,10,10,11,10,6,9,11,12,10,11,10,15,9
2023-08-10,2,4,2,2,4,2,8,2,2,2,3,4,3,5,3,7,3
2023-08-09,3,5,3,5,6,5,7,4,2,5,6,7,6,6,7,9,5
2023-08-08,4,6,4,5,7,6,7,4,2,5,7,9,8,7,8,11,5
2023-08-07,5,8,4,9,10,6,10,7,4,8,11,12,10,9,9,12,5
2023-08-06,15,4,9,17,14,11,8,13,9,15,15,15,12,13,9,13,12
2023-08-05,13,6,13,12,13,19,12,12,11,18,15,17,13,16,12,11,17
2023-08-04,12,9,12,14,9,15,13,13,10,16,13,12,9,15,12,8,14
2023-08-03,14,12,12,17,11,15,17,14,11,17,15,16,13,16,14,9,14
2023-08-02,24,13,11,23,15,25,19,21,16,24,25,27,14,17,13,11,26
2023-08-01,22,6,16,27,15,24,13,20,14,19,25,24,15,20,11,12,21
