날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022-12-31,34,21,21,34,25,23,20,37,27,35,29,28,16,23,19,14,30
2022-12-30,28,26,27,29,30,25,22,31,24,32,29,33,22,25,23,25,31
2022-12-29,19,17,19,23,20,21,16,24,16,28,27,26,15,18,16,14,25
2022-12-28,21,26,32,23,27,27,25,26,24,36,28,32,19,27,23,22,32
2022-12-27,36,18,20,35,21,31,18,42,35,49,35,34,14,23,16,13,40
2022-12-26,35,15,18,25,20,24,18,37,36,43,28,29,12,24,16,11,30
2022-12-25,30,12,18,28,23,25,14,33,25,36,30,31,13,21,13,9,31
2022-12-24,19,14,13,18,16,18,14,21,16,22,22,20,11,16,13,8,21
2022-12-23,11,10,10,11,8,11,12,11,12,13,10,11,5,12,8,7,9
2022-12-22,15,18,17,15,11,14,18,14,15,17,12,13,7,18,12,8,13
2022-12-21,29,24,40,29,33,26,22,31,26,32,29,27,22,27,24,16,32
2022-12-20,21,22,23,23,26,27,20,25,18,29,28,29,19,21,21,17,30
2022-12-19,12,15,16,14,20,17,13,16,12,21,20,19,12,15,14,12,20
2022-12-18,8,11,10,10,13,14,10,10,9,16,14,16,8,12,10,7,15
2022-12-17,13,9,15,14,11,17,12,14,14,21,15,16,7,16,9,8,18
2022-12-16,17,14,13,16,18,19,14,20,18,25,17,18,12,16,11,15,20
2022-12-15,19,13,16,21,14,17,13,21,15,22,19,14,10,17,13,8,18
2022-12-14,10,12,11,12,10,13,12,11,9,14,13,13,7,12,8,7,13
2022-12-13,34,35,34,35,40,28,33,34,32,27,29,39,34,32,30,31,22
2022-12-12,21,15,31,26,19,21,14,24,19,29,20,23,16,24,19,14,23
2022-12-11,26,19,22,21,23,29,19,27,21,38,26,34,17,24,18,16,30
2022-12-10,23,36,39,24,42,46,34,30,28,52,37,49,30,37,30,21,46
2022-12-09,25,25,32,28,27,32,25,30,24,32,35,32,22,26,22,14,37
2022-12-08,11,22,30,14,21,24,21,16,12,22,18,25,18,20,19,16,25
2022-12-07,14,22,27,14,22,24,25,18,19,26,26,28,17,24,19,25,24
2022-12-06,14,17,18,16,16,16,18,18,16,22,17,16,12,18,14,17,19
2022-12-05,10,7,7,11,9,10,8,11,10,13,11,9,5,9,6,8,11
2022-12-04,7,15,12,7,13,10,16,7,10,13,9,12,11,15,13,14,8
2022-12-03,23,16,20,22,18,21,16,24,18,24,24,19,12,20,17,10,25
2022-12-02,9,11,11,9,12,14,12,12,10,17,17,15,9,14,10,8,17
2022-12-01,8,7,6,9,9,8,7,9,8,10,10,9,6,8,6,7,9
