날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022-11-30,6,8,7,7,10,7,8,6,6,8,8,9,7,9,7,10,8
2022-11-29,10,8,11,9,10,10,8,9,8,12,11,10,7,13,7,11,8
2022-11-28,13,15,31,14,17,23,17,15,12,23,18,19,13,23,16,11,23
2022-11-27,10,12,14,13,15,14,11,13,10,16,19,19,14,15,14,19,18
2022-11-26,18,18,20,18,21,19,17,19,14,21,21,23,16,22,18,18,19
2022-11-25,34,17,28,33,26,25,16,37,22,31,30,29,19,25,17,16,29
2022-11-24,30,22,22,31,20,24,20,33,18,27,29,27,18,23,19,19,26
2022-11-23,25,18,20,27,24,33,11,26,15,29,31,39,20,18,18,16,29
2022-11-22,36,24,35,43,29,44,21,39,24,41,51,51,23,29,25,15,46
2022-11-21,25,17,21,34,25,24,16,32,17,25,32,37,20,19,19,14,28
2022-11-20,18,12,19,26,20,20,12,22,16,21,27,27,17,18,16,13,23
2022-11-19,17,16,26,21,20,22,19,21,16,23,27,27,17,25,20,15,25
2022-11-18,26,24,32,23,21,26,26,29,17,26,34,28,18,27,22,18,30
2022-11-17,21,26,28,20,18,21,26,24,18,25,23,25,16,26,21,20,25
2022-11-16,20,23,26,21,18,20,23,23,18,23,22,24,16,25,20,26,15
2022-11-15,17,15,15,18,15,14,15,19,15,18,17,18,12,18,14,11,15
2022-11-14,15,14,14,16,15,22,13,17,14,18,20,18,13,16,15,15,19
2022-11-13,12,8,8,14,12,13,8,13,10,14,15,14,10,12,9,14,14
2022-11-12,31,26,31,38,27,30,26,35,23,32,32,29,23,30,26,16,27
2022-11-11,36,31,42,46,30,44,32,45,28,45,57,47,29,38,33,20,54
2022-11-10,59,36,42,57,31,50,38,65,41,61,63,48,29,46,31,19,63
2022-11-09,50,28,34,44,32,40,30,52,31,48,46,41,25,33,25,20,47
2022-11-08,31,25,27,27,27,26,26,34,26,33,31,30,22,28,23,17,29
2022-11-07,18,20,22,18,25,24,21,22,17,28,23,29,21,24,19,19,27
2022-11-06,14,14,17,15,18,19,15,17,14,23,19,21,14,19,14,13,21
2022-11-05,12,10,9,13,8,12,11,14,13,17,14,14,7,14,9,8,14
2022-11-04,8,16,12,8,9,9,16,9,12,13,9,11,9,16,14,12,8
2022-11-03,14,34,27,14,24,19,32,17,20,27,18,24,22,29,29,20,17
2022-11-02,13,29,36,12,37,26,31,18,21,34,19,31,28,34,28,39,22
2022-11-01,30,12,21,27,29,31,13,35,20,33,35,37,21,20,16,20,34
