날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-09-30,12,18,13,13,13,10,19,12,12,14,10,14,13,17,16,13,9
2023-09-29,19,22,27,15,28,27,28,22,20,33,24,32,27,29,22,27,22
2023-09-28,32,7,12,37,16,19,10,30,15,23,27,23,14,16,9,20,21
2023-09-27,5,11,9,7,5,5,16,5,3,7,8,7,5,9,9,11,5
2023-09-26,3,11,7,4,9,5,11,4,3,4,6,9,10,7,14,9,4
2023-09-25,4,7,5,7,8,5,6,6,4,6,7,9,8,7,8,9,4
2023-09-24,4,6,4,6,8,4,7,5,4,7,7,8,7,7,6,9,5
2023-09-23,9,6,6,14,10,9,7,11,6,10,15,13,9,9,8,9,10
2023-09-22,9,7,6,12,11,9,8,9,5,9,13,12,9,8,8,8,9
2023-09-21,4,7,3,5,5,4,7,5,4,5,6,7,4,6,5,5,4
2023-09-20,14,21,20,15,12,20,25,15,13,23,18,18,12,23,19,10,15
2023-09-19,17,12,14,16,11,14,17,18,16,18,14,14,10,17,12,7,12
2023-09-18,11,5,6,9,5,5,9,10,7,7,7,7,5,9,7,5,6
2023-09-17,10,4,5,11,5,4,7,9,4,5,7,6,5,7,4,4,5
2023-09-16,5,7,10,7,8,4,13,6,3,5,5,7,6,11,8,5,3
2023-09-15,4,7,4,5,7,3,8,4,4,5,6,6,7,6,8,6,3
2023-09-14,3,7,4,4,5,4,9,4,3,5,7,8,7,7,10,7,4
2023-09-13,14,12,17,18,14,13,15,15,9,15,14,17,15,19,19,20,11
2023-09-12,17,11,16,17,15,18,16,17,15,21,17,18,14,17,16,15,16
2023-09-11,19,7,9,15,16,20,9,19,11,17,18,19,13,11,11,10,18
2023-09-10,22,6,7,20,15,15,7,21,9,13,19,23,13,9,10,10,16
2023-09-09,17,6,7,21,13,13,7,18,7,12,19,17,11,9,9,10,16
2023-09-08,8,6,6,11,9,7,7,9,6,9,11,10,8,8,8,9,9
2023-09-07,9,9,7,12,10,8,10,9,7,10,11,12,10,11,10,12,9
2023-09-06,9,9,7,16,10,8,11,11,7,9,17,14,11,11,9,11,9
2023-09-05,9,7,5,14,9,7,9,9,6,8,14,12,10,9,9,10,9
2023-09-04,9,9,5,12,13,8,10,9,7,8,14,13,12,9,12,12,9
2023-09-03,11,7,7,13,10,6,9,11,10,7,12,10,9,9,9,11,5
2023-09-02,17,5,12,20,10,16,8,17,12,16,20,19,8,12,9,5,15
2023-09-01,14,4,12,15,13,17,9,14,9,17,17,19,11,12,10,9,16
